126:127C,127N:128N,127N:127C,126:128N,126:128C,127N:129C,127N:128C,126:129N,128C:129C,129N:130N,129N:129C,128C:130N,accession_number,numPepsUnique,accession_numbers,entry_name,FBgn,flybase,plasma membrane,membrane,cytosol,nucleus,mitochondria
2.2745,1.323,2.4655,1.134,0.02,1.572,0.234,-0.0075,1.265,0.583,1.352,0.566,P91643,2,P91643|Q2XY32|Q9VK54|Q8T3J2,KEK1,FBgn0015399,kek1,1,1,0,0,0
1.2695,1.069,1.2595,1.025,0.399,1.905,0.598,0.3855,1.054,0.429,1.347,0.474,P15278-2,8,P15278-2|P15278|A8DZ14|Q8INX7|A2RVH3,Isoform B of Fasciclin-3,FBgn0000636,Fas3,1,1,1,0,0
1.4065,0.927,1.6655,0.783,0.225,1.598,0.406,0.0445,1.172,0.518,1.329,0.412,A8JR25,38,A8JR25|Q8INA9|P10674|Q9VES3|B7Z0L0|B7Z0L1|Q8MSW3,"Fasciclin 1, isoform D",FBgn0285925,Fas1,0,0,0,0,0
1.5695,1.874,1.7615,1.841,0.666,1.832,0.758,0.4215,0.983,0.96,1.311,0.772,Q8WR08,30,Q8WR08|Q8STB9|Q8WR09|A1ZA89|Q9GT67|Q8T0G6|Q1EC76,Dystroglycan type I,FBgn0034072,Dg,1,1,0,0,0
1.6275,1.247,1.6725,1.238,0.35,1.514,0.343,0.2225,1.211,0.734,1.306,0.648,P23654,42,P23654|Q9VLA3|D6W4W1,Neurotactin,FBgn0004108,Nrt,1,1,1,0,0
1.0365,0.842,1.0395,0.8,0.341,1.141,0.376,-0.1345,0.72,0.756,1.236,0.31,C5WLU3,2,C5WLU3|Q24468|Q24229|Q95T01,LP03259p (Fragment),FBgn0003169,put,0,1,0,0,0
1.2985,0.648,1.1025,0.85,0.349,1.407,0.154,0.2125,0.977,0.397,1.234,0.21,Q9VCI4,3,Q9VCI4,"CG10217, isoform A",FBgn0039113,CG10217,0,0,0,0,0
0.6765,0.558,0.8375,0.359,-0.108,1.032,0.083,-0.3905,0.904,1.044,1.226,0.792,Q24114,2,Q24114|Q966V5,Division abnormally delayed protein,FBgn0263930,dally,1,1,0,0,0
2.0185,1.278,1.8695,1.362,0.491,1.45,0.267,0.4255,0.902,0.88,1.224,0.735,Q9VPA1,6,Q9VPA1,CG32432,FBgn0052432,CG32432,0,1,0,0,0
1.9355,1.302,1.8765,1.396,0.627,1.562,0.431,0.5065,0.915,0.511,1.21,0.58,Q967D7,20,Q967D7|Q967D7-2|E1JHT0|Q967D7-5|Q967D7-4|C0PTW0|Q967D7-3,Protein turtle,FBgn0010473,tutl,1,1,0,0,0
1.4745,0.88,1.5575,0.747,0.043,1.208,0.153,0.0035,1.049,0.431,1.192,0.528,P10379,14,P10379,Protein unzipped,FBgn0004055,uzip,0,1,0,0,0
1.7385,0.698,1.6095,0.879,0.24,1.283,0.064,0.2545,1.154,0.573,1.189,0.524,Q9VHX9,25,Q9VHX9|Q8SYR7,CD98 heavy chain,FBgn0037533,CD98hc,1,1,0,0,0
1.4205,1.119,1.4415,1.124,0.418,1.52,0.485,0.2815,0.754,0.724,1.187,0.573,B2YGF9,13,B2YGF9|B2YGF3|B2YGF4|Q8MSE3|E1JID9|E1JIE0|E1JIE1|G1API6|E1JIE3|E1JIE2|G1API3|G1API4|E1JI49|Q8MT89|D3DMJ9|E1JI50|Q86BH1|E1JI52|B2YGF8|B2YGG0|G1API2|D5AEK4|E1JI51|B2YGF5|B2YGF1|B2YGF6,Multiplexin transcript 12 (Fragment),FBgn0260660 ,Mp,0,0,0,0,0
0.6545,-0.425,0.6285,-0.437,-0.062,0.883,-0.058,-0.3075,0.896,0.536,1.182,0.321,Q7KT70,2,Q7KT70|Q7YU32|Q86LF3|Q8IP36|Q9NK80,FI18641p1,FBgn0001987,Gli,1,1,0,0,0
-1.1165,-0.878,-1.1625,-1.109,-0.188,-0.486,0.036,-1.8955,-0.567,1.136,1.181,-0.432,A1Z6W6,3,A1Z6W6,CG1850,FBgn0033154,CG1850,0,0,0,0,0
1.1365,1.034,1.0355,1.166,0.731,1.485,0.406,0.5675,1.177,0.914,1.173,0.933,Q7K188,6,Q7K188,"CG6329, isoform A",FBgn0033872,CG6329,0,0,0,0,0
1.1535,0.747,0.8625,0.906,-0.047,0.971,-0.085,-0.0105,1.074,0.801,1.133,0.772,Q9W092,11,Q9W092,Probable chitinase 2,FBgn0022702,Cht2,0,0,1,0,0
1.6905,1.353,1.7055,1.282,0.278,1.417,0.324,0.1665,1.048,0.524,1.12,0.442,D8FT38,2,D8FT38|Q9VM61,RT09244p,FBgn0031874,CG13775,0,0,0,0,0
1.3875,1.36,1.7815,1.228,0.502,1.819,0.758,0.2555,0.882,0.821,1.119,0.514,Q24547,5,Q24547|K7Z3L7,Syntaxin-1A,FBgn0013343,Syx1A,1,1,0,0,0
1.6955,0.738,1.7855,0.61,0.348,1.329,0.468,0.1065,0.815,0.615,1.097,0.403,P28466,2,P28466|Q2XY20,Protein Wnt-5,FBgn0010194,Wnt5,0,0,0,1,0
1.9405,0.825,1.8235,0.904,0.698,1.633,0.612,0.6185,0.976,0.707,1.096,0.657,Q9VG19,2,Q9VG19|Q95UH9,Beat-Vb,FBgn0038092,beat-Vb,1,1,0,0,0
0.5455,0.488,0.4455,0.354,0.196,1.027,0.131,0.1175,0.682,0.469,1.084,0.393,Q8IH40,3,Q8IH40,CG34118,FBgn0262869,Gfrl,1,1,0,0,0
1.2485,1.243,1.2265,1.277,0.407,1.462,0.337,0.1985,0.823,0.77,1.051,0.592,E1JHP3,13,E1JHP3|Q0E8N3|Q9V9Q7|Q9V9Q9|C0PTX3|A1A6V1,"CG31619, isoform D",FBgn0051619,nolo,0,0,0,0,0
0.9895,0.785,1.1455,0.624,0.399,1.524,0.365,0.2885,0.888,0.356,1.047,0.173,Q9V3X2,3,Q9V3X2,BcDNA.LD19727,FBgn0027865,Tsp96F,1,1,0,0,0
1.7235,1.563,1.6665,1.449,0.568,1.666,0.695,0.4245,0.881,0.912,1.024,0.669,A8DZ06,40,A8DZ06|A8DZ07|D0IQF5|Q6IHD4,"CG4587, isoform C",FBgn0028863,CG4587,0,1,0,0,0
1.6865,1.28,1.5325,1.378,0.637,1.441,0.575,0.5015,0.918,0.697,1.018,0.59,Q0E9K2,113,Q0E9K2|Q0E9H8|Q0E9H6|Q0E9K5|Q0E9L6|Q0E9K8|Q0E9M2|Q0E9I6|Q0E9H7|Q0E9M3|Q0E9L8|Q0E9J2|Q0E9J1|Q0E9M4|Q0E9L2|Q0E9L7|Q0E9K9|Q0E9M1|Q0E9K7|A1Z6X2|Q0E9I1|Q0E9L9|Q0E9J5|Q0E9J8|Q0E9L1|Q0E9J4|Q0E9K1|Q0E9J0|Q0E9I7|Q0E9J9|Q0E9K3|Q0E9H5|Q0E9H9|Q0E9L5|Q0E9I2|Q0E9I5|Q0E9L3|Q0E9I0|Q0E9K0|Q0E9K6|Q0E9J6|Q0E9I9|Q0E9K4|Q0E9J3|Q0E9I4|Q0E9M0|A1Z6X1|A1Z6X3|Q0E9L0|Q0E9I8|Q0E9I3|Q0E9J7|Q0E9L4|Q9NBA1|Q1EBY4|Q95TG0|Q0E9H3|Q0E9H4|Q0E9H2|Q0E9H0|Q0E9G9|Q0E9H1|Q95S10|Q8IGA5,"Down syndrome cell adhesion molecule, isoform AI",FBgn0033159,Dscam1,1,1,0,0,0
1.0325,1.288,0.8605,0.788,-0.121,1.109,0.12,-0.0605,1.238,0.503,1.015,0.778,Q7KUL1,8,Q7KUL1|Q9GPL5|Q9VUG1,"Dally-like, isoform B",FBgn0041604,dlp,1,1,0,0,0
1.1435,0.577,1.0375,0.86,0.229,1.097,0.096,0.2515,0.946,0.411,1.009,0.281,Q9VN14,41,Q9VN14|C4IXZ0,Contactin,FBgn0037240,Cont,1,1,0,0,0
1.4395,1.082,1.6205,0.907,0.114,1.23,0.29,0.0485,1.027,0.306,1.008,0.395,Q7KT58,3,Q7KT58|E1NZE7,CG5888,FBgn0028523,CG5888,0,0,0,0,0
1.4995,1.308,1.4675,1.227,0.452,1.296,0.495,0.3095,0.835,0.728,0.992,0.543,P35992-3,40,P35992-3|P35992|P35992-2|F0JAM3|Q9W4F5|Q8IRS0|Q24495|Q8SXB2|F0JAM6|Q1LZ41,Isoform A of Tyrosine-protein phosphatase 10D,FBgn0004370,Ptp10D,1,1,0,0,0
1.5695,0.779,1.2905,0.885,0.326,1.073,0.237,0.2405,0.632,0.674,0.969,0.598,Q95RA9,7,Q95RA9,CG9796,FBgn0038149,GILT1,1,1,0,0,0
1.1285,0.866,1.2855,0.865,0.416,1.276,0.455,0.2835,0.79,0.861,0.965,0.598,A8JNC7,9,A8JNC7|Q1RKT2|Q4QQ69|E2QCS9|Q4QQ54,"CG34391, isoform C",FBgn0085420,DIP-delta,1,1,0,0,0
1.4685,1.492,1.5095,1.472,0.227,1.255,0.425,0.1095,0.87,0.678,0.962,0.487,Q8IQD3,5,Q8IQD3|Q8MSD7,CG32052,FBgn0044328,CG32052,0,0,0,0,0
1.3225,0.716,1.4055,0.443,0.38,1.359,0.62,-0.0055,0.385,0.873,0.956,0.263,Q9VS27,2,Q9VS27,CG17742,NA,NA,0,0,0,0,0
1.4055,0.285,0.9405,0.585,0.289,0.773,-0.167,-0.0345,0.785,0.351,0.955,0.41,Q9VLP1,5,Q9VLP1,"CG14275, isoform A",FBgn0032022,CG14275,0,0,0,0,0
-1.2705,-1.044,-0.2385,-2.113,-0.641,0.862,0.421,-0.8495,0.527,0.513,0.954,0.157,Q961P9,2,Q961P9|Q9VT41,GH11567p,FBgn0036038 ,defl,0,0,0,0,0
1.2565,0.987,1.2335,0.965,0.308,1.237,0.267,0.1205,0.872,0.637,0.946,0.586,Q9VW71,56,Q9VW71,Fat-like cadherin-related tumor suppressor homolog,FBgn0261574,kug,1,1,0,0,0
,0.215,,-0.014,-0.565,0.366,-0.495,-0.3955,0.822,-0.176,0.937,-0.098,A8E6R0,2,A8E6R0|Q9VIW9,IP17434p,FBgn0032779,CG16771,0,1,0,0,0
0.5615,0.249,0.8305,0.244,-0.279,0.787,-0.104,-0.0935,0.83,0.446,0.912,0.429,Q9VQ52,3,Q9VQ52,CG31663,FBgn0051663,CG31663,0,1,0,0,0
0.7165,0.134,0.6675,0.201,-0.131,0.653,-0.081,-0.2275,0.695,0.201,0.906,0.065,P07207,9,P07207|Q4QQB7|Q32UZ3|Q32V01|Q32UY9|Q32UW1|Q32UY1|Q32V41|Q32UV3|Q32UX3|Q32V45|Q32UW5|Q7Z1J3|Q7YSU6|Q7YSQ1|Q7Z1J1|Q7YSR5,Neurogenic locus Notch protein,FBgn0004647,N,1,1,1,1,0
0.7045,0.217,0.7195,0.191,-0.173,0.774,-0.077,-0.3135,0.284,0.164,0.891,-0.161,Q7K127,4,Q7K127,"CG7997, isoform A",FBgn0034117,CG7997,0,0,1,0,0
1.7575,1.228,1.4675,1.572,0.961,1.279,0.776,0.8435,0.539,-0.217,0.887,-0.494,A8JNR5,2,A8JNR5|Q5BIG2,"CG6024, isoform D",FBgn0036202,CG6024,0,0,0,0,0
1.2775,0.508,0.9085,0.85,0.293,0.774,-0.055,0.2525,0.852,0.604,0.879,0.631,E1JIJ8,21,E1JIJ8|P07140|Q8T0K7,"Acetylcholine esterase, isoform B",FBgn0000024,Ace,0,0,0,0,0
1.5575,0.753,1.5475,0.794,0.261,1.089,0.201,0.3255,0.952,0.338,0.876,0.206,Q9VCL1,8,Q9VCL1|Q95UI1,Beat-IV,FBgn0039089,beat-IV,1,1,0,0,0
0.8155,0.508,0.7715,0.513,0.092,0.961,0.079,0.0955,0.836,0.314,0.873,0.348,Q9W3P7,2,Q9W3P7,CG1402,FBgn0029962,CG1402,0,0,0,0,0
1.0755,0.413,1.1245,0.337,0.146,0.926,0.155,0.0315,0.739,0.223,0.865,0.125,Q9VQV1,27,Q9VQV1,CG3921,FBgn0031571,bark,0,0,0,0,0
1.5765,1.302,1.6455,1.164,0.287,1.264,0.466,0.2315,0.846,0.711,0.864,0.527,A1Z921,33,A1Z921|A1Z920|C3KGI5|Q94537|Q94538|B7FNQ2|Q1LZ45,"Frazzled, isoform B",FBgn0011592,fra,1,1,0,0,0
2.0585,2.039,2.2325,1.891,0.911,1.344,1.116,0.2845,0.045,1.058,0.859,0.487,P41596,3,P41596|P41596-2|E1JIK5,Dopamine receptor 1,FBgn0011582,Dop1R1,1,1,0,0,0
0.8485,0.517,0.8075,0.52,0.475,0.85,0.466,-0.0005,0.339,0.648,0.855,0.202,Q8MT48,2,Q8MT48,CG9416,FBgn0034438,CG9416,0,1,0,0,0
0.9025,0.873,1.0905,0.68,0.123,1.069,0.311,0.0415,0.807,0.458,0.851,0.196,A1ZA58,3,A1ZA58,CG33464,NA,NA,0,0,0,0,0
1.0635,0.485,1.0435,0.564,0.194,0.944,0.154,-0.0005,0.706,0.379,0.844,0.19,Q9VLT3,16,Q9VLT3,LD23292p,FBgn0267488,Mcr,1,1,0,0,0
2.1595,1.631,2.0115,1.741,0.985,1.573,0.868,0.8465,0.66,0.002,0.84,-0.107,Q9VWP9,2,Q9VWP9,CG7058,FBgn0030961,CG7058,0,0,1,1,0
1.2775,0.9,1.2135,0.877,0.327,1.111,0.342,0.2055,0.745,0.555,0.832,0.399,Q9VXM0,45,Q9VXM0|B5X533|Q961N3,"CG8909, isoform B",FBgn0030706,Lrp4,0,1,0,0,0
1.3975,0.658,1.3315,0.487,-0.052,0.817,0.01,-0.0895,1.26,0.193,0.827,0.203,Q9VTZ5,9,Q9VTZ5,LD22449p,FBgn0036299,Tsf2,1,1,0,0,0
1.6305,1.631,1.6685,1.545,0.552,1.394,0.543,0.5495,0.741,0.603,0.824,0.633,B7Z0Y2,29,B7Z0Y2|Q9VXL1|Q7KUY7|Q9GZ15|F6J795|F6J785|B3DND7,"Mind-meld, isoform D",FBgn0259110,mmd,0,1,0,0,0
0.3405,0.087,0.0075,0.182,-0.348,0.902,-0.322,0.1425,0.933,-0.471,0.824,-0.098,A1Z6S0,8,A1Z6S0|A8DY50|E1JGY9|B6IDW8|D0IQI8|C7LA92,"CG33558, isoform C",FBgn0053558,mim,1,1,0,0,0
1.8245,1.048,1.5095,1.38,1.115,1.047,0.776,0.4655,0.435,1.01,0.823,0.367,C6SUX5,2,C6SUX5|Q9VAL0,GM01169p (Fragment),FBgn0040623,Spase12,0,1,0,0,0
1.1065,0.998,1.1725,0.897,0.276,1.173,0.398,0.0835,0.749,0.626,0.823,0.346,Q9V4B6,23,Q9V4B6|H9XVM5|Q8MR35|C8VV82,"CG31998, isoform A",FBgn0051998,CG31998,0,1,0,0,0
1.6135,0.987,1.4145,1.074,0.416,0.867,0.321,0.2585,0.624,0.619,0.821,0.494,Q27324,3,Q27324|Q9V422,Tyrosine-protein kinase Drl,FBgn0015380,drl,1,1,0,0,0
1.3665,0.69,1.5435,0.603,0.022,1.014,0.177,0.0415,0.791,0.354,0.815,0.442,Q7JPR9,11,Q7JPR9|A1ZBR2|Q2XXS4|Q24591|E0R985|Q961H0|B4YXU5,Tlr protein,FBgn0004364,18w,1,1,0,0,0
1.1435,0.82,1.1335,0.803,0.28,1.097,0.184,0.1705,0.775,0.426,0.812,0.333,Q0KIB0,20,Q0KIB0|Q0KIB1|A1A6Y4,"CG34113, isoform O",FBgn0083949,side-III,0,1,0,0,0
1.1875,1.328,1.2805,1.404,0.368,1.194,0.391,0.3735,0.888,0.786,0.809,0.76,Q9W4R3,10,Q9W4R3,CG32791,FBgn0052791,DIP-alpha,1,1,0,0,0
1.1795,1.067,1.4125,0.874,0.342,1.122,0.508,0.0975,0.732,0.498,0.803,0.461,A1Z6H9,7,A1Z6H9|E3CTN6,Dpr12,FBgn0085414,dpr12,0,0,0,0,0
1.3965,1.119,1.1825,1.274,0.393,1.041,0.338,0.3195,0.794,0.572,0.8,0.491,Q9VCT4,18,Q9VCT4|P91670,Klingon,FBgn0017590,klg,1,1,0,0,0
1.1905,0.894,1.2075,0.896,0.396,0.986,0.363,0.2145,0.653,0.478,0.789,0.309,Q7KSE9,53,Q7KSE9|Q9VEJ5|A8JR35|Q6IDE9,"Dscam3, isoform B",FBgn0261046,Dscam3,1,1,0,0,0
1.2675,-0.054,1.4665,-0.29,-0.452,0.037,-0.223,-0.3895,0.474,0.223,0.788,0.315,E1JJ78,2,E1JJ78|B7Z0U7|C1C3H4|Q9VI75,"Like-AP180, isoform D",FBgn0086372,lap,0,0,0,0,0
0.0525,-0.094,-0.1095,0.107,-0.028,0.615,-0.136,-0.0865,0.379,0.346,0.787,0.29,H1UUJ5,3,H1UUJ5|Q7KRZ3|Q9VBI4|Q8SWU0,FI18238p1 (Fragment),FBgn0266668,Exo84,0,0,0,0,0
0.8725,1.263,1.0095,1.175,0.37,0.479,0.411,0.0775,0.259,0.638,0.786,0.479,Q9VIU4,2,Q9VIU4|Q8T9G2,CG33116,FBgn0053116,CG33116,0,1,0,0,0
1.6155,0.855,1.5195,0.839,0.552,1.143,0.456,0.4075,0.636,0.532,0.782,0.422,Q24322,26,Q24322|Q0E8S4|D9PTS2|Q8MYZ9,Semaphorin-1A,FBgn0011259,Sema1a,1,1,0,0,0
1.3755,-0.531,0.8895,-0.208,0.139,0.736,-0.226,0.1525,1.103,-0.503,0.782,-0.427,Q8IGE3,7,Q8IGE3|Q8IQB7,RH42907p (Fragment),FBgn0043806,CG32032,0,1,0,0,0
1.2785,0.645,1.1915,0.838,0.43,1.204,0.346,0.3925,0.819,0.459,0.778,0.475,Q0E8G9,38,Q0E8G9|B7Z0D9|Q3ZAL9|Q1RKW0|Q059C2|D3DMK1,"CG42330, isoform D",FBgn0263219,Dscam4,1,1,0,0,0
1.5035,1.367,1.4215,1.148,0.457,1.116,0.605,0.3345,0.543,0.738,0.777,0.535,Q03445,17,Q03445|Q03445-2|Q9TVG7|Q9VSV5|Q32KE2,Glutamate receptor 1,FBgn0004619,GluRIA,1,1,0,0,0
1.6465,0.882,1.3105,0.982,0.419,0.872,0.282,0.0645,0.825,0.236,0.768,0.26,Q9VAP3,5,Q9VAP3|Q8MR01,CTL-like protein 2,FBgn0039637,Ctl2,0,1,0,0,0
0.9665,1.022,1.0005,1.225,0.919,1.217,0.58,0.6535,0.677,0.573,0.765,0.304,Q8SWS1,12,Q8SWS1|Q9W5Y0|D2NUF9,RE48040p,FBgn0031081,Nep3,0,0,0,0,0
1.1925,1.002,1.1495,0.823,0.274,0.958,0.401,0.1895,0.656,0.567,0.756,0.521,A1Z7G7,10,A1Z7G7|F7VJV3|A1Z7G7-2|E1JH11,Latrophilin Cirl,FBgn0033313,Cirl,1,1,0,0,0
0.7795,0.561,1.0235,0.288,-0.178,0.761,0.106,-0.1695,0.61,0.452,0.755,0.031,Q0KI81,4,Q0KI81|Q4QQ46|Q0IGW3,CG42327,FBgn0259227,CG42327,0,1,0,0,0
0.9705,1.122,1.1775,0.925,0.246,1.129,0.564,0.0625,0.634,0.543,0.753,0.358,Q9W4A6,19,Q9W4A6|E1JJE6|B3DNA0|Q9W4A5|Q4V485,"CG42492, isoform A",FBgn0259994,OtopLa,0,1,0,0,0
0.7885,0.627,0.8415,0.586,0.25,0.821,0.247,0.2095,0.493,0.018,0.753,-0.042,Q9VPV8,2,Q9VPV8|Q59E11|Q7YTY8|Q8MQR5|Q9BKN7,"Ia2, isoform C",FBgn0031294,IA-2,0,1,0,0,0
0.9245,0.207,0.8405,0.245,-0.03,0.906,-0.02,-0.0405,0.683,0.273,0.752,0.291,Q94534,3,Q94534|E0R974|Q5BIA5,Beaten path,FBgn0013433,beat-Ia,1,1,0,0,0
0.1915,-0.658,0.0355,-0.717,-0.412,0.622,-0.369,-0.2985,0.822,-0.706,0.746,-0.665,Q9VJU8,5,Q9VJU8,GH23407p,FBgn0028542,NimB4,0,0,0,0,0
1.4095,0.788,1.4565,0.611,0.356,1.013,0.268,0.2065,0.6,0.572,0.741,0.297,Q9VWE0,8,Q9VWE0|F6J8J4|F6J8J0|F6J8J5,Cytokine receptor,FBgn0043903,dome,1,1,0,1,0
0.1245,0.034,0.1985,0.181,-0.188,0.443,-0.189,-0.0425,0.373,0.094,0.741,0.15,Q9W429,2,Q9W429,UDP-xylose and UDP-N-acetylglucosamine transporter-like,FBgn0029849,Efr,0,1,0,0,0
-0.1915,0.208,0.3035,-0.325,-0.659,0.956,-0.133,-0.3095,1.044,0.489,0.735,0.867,P91645-6,2,P91645-6|P91645-3|P91645-4|P91645|Q59E50|Q59E52|Q59E51|Q59E53|P91645-5|P91645-2|Q8MRR4,Isoform F of Voltage-dependent calcium channel type A subunit alpha-1,FBgn0263111 ,cac,1,1,0,0,0
1.1085,0.912,1.0245,0.943,0.268,0.85,0.282,0.2485,0.54,0.652,0.734,0.473,Q9V6K3,9,Q9V6K3,Tyrosine-protein kinase transmembrane receptor Ror2,FBgn0020391,Nrk,1,1,0,0,0
1.2465,1.105,1.2895,1.288,0.56,1.104,0.213,0.2975,0.974,0.726,0.727,0.545,Q8IP70,3,Q8IP70,CG31814,FBgn0051814,CG31814,1,1,0,0,0
1.0315,1.637,1.3085,1.192,0.417,1.398,0.74,0.3175,0.475,0.639,0.727,0.38,Q9VXX5,11,Q9VXX5,CG15029,FBgn0263994,CG43737,0,0,0,0,0
1.1415,0.851,1.3265,0.766,0.015,0.959,0.247,0.1695,0.679,0.522,0.723,0.451,Q9VUN0,20,Q9VUN0|Q6NN49|Q9NBK9|Q95RV9,FI02055p,FBgn0036494,Toll-6,1,1,0,0,0
0.7765,0.768,0.7955,0.534,0.138,0.827,0.247,0.0255,0.517,0.519,0.723,0.314,Q8MR08,4,Q8MR08|Q9W2M4,LD46156p (Fragment),FBgn0034583,CG10527,0,0,1,0,0
0.1795,0.133,0.3455,0.337,0.128,0.493,0.054,0.0445,0.138,0.445,0.723,0.071,Q9VYW5,3,Q9VYW5,CG2247,FBgn0030320,CG2247,0,0,0,1,0
1.0705,0.859,1.1075,0.783,0.256,0.845,0.23,0.1035,0.587,0.642,0.722,0.288,Q9VE32,3,Q9VE32|A1L4T9,CG18208,FBgn0038653,Octalpha2R,1,1,0,0,0
1.9535,1.255,1.7365,1.289,0.449,1.195,0.643,0.2565,0.519,0.747,0.721,0.391,A1ZBY3,6,A1ZBY3|Q8T603|Q6IM36,Defective proboscis extension response,FBgn0040726,dpr1,1,1,0,0,0
1.0025,0.855,0.9935,0.873,0.35,0.959,0.375,0.2205,0.591,0.536,0.721,0.45,Q9V491,74,Q9V491|H9XVP3|O96681|G7H847|Q0KIF1|Q7YU07|Q86M56|Q8STG6,"Plexin A, isoform A",FBgn0025741,PlexA,1,1,0,0,0
0.8115,0.807,0.7885,0.624,0.282,1.037,0.327,0.1205,0.565,0.502,0.721,0.524,Q7K0H4,9,Q7K0H4|Q95R75,SD07723p,FBgn0261041,stj,0,0,0,0,0
1.2115,0.99,1.4355,1.006,0.362,0.939,0.295,0.1445,0.674,0.435,0.72,0.355,H1UUM0,10,H1UUM0|B8BPV3|C9QPE4,MIP32738p1,FBgn0259821,CG42402,0,1,0,0,0
1.1995,0.785,1.0125,0.827,0.439,0.982,0.418,0.2585,0.55,0.598,0.719,0.484,Q9VLT6,11,Q9VLT6|Q8T0D8,CG7466,FBgn0031981,CG7466,0,1,0,0,0
1.1005,0.416,1.2585,0.573,0.131,0.92,0.13,0.0695,0.576,0.113,0.716,0.061,A8JPQ1,13,A8JPQ1|Q1RKQ9|Q1EC36|Q059D2,CG34353,FBgn0085382,CG34353,0,0,0,0,0
0.8135,0.693,0.8935,0.685,0.628,0.833,0.389,0.5675,0.59,0.323,0.715,0.353,A8DYR2,11,A8DYR2|Q8MYY4,CG34380,FBgn0085409,smal,1,1,0,0,0
0.9005,0.657,0.8805,0.546,0.185,0.852,0.151,0.1785,0.673,0.509,0.714,0.07,Q9VFU7,5,Q9VFU7|C0PTV4,CG14372,FBgn0038156,side-IV,0,1,0,0,0
0.6555,-0.795,0.4265,-0.662,-0.545,0.453,-0.896,-0.3595,0.914,-0.446,0.707,-0.082,Q9VDT5,5,Q9VDT5,"CG4572, isoform A",FBgn0038738,CG4572,0,0,0,0,0
1.0095,0.784,0.9995,0.871,0.354,0.89,0.293,0.2995,0.623,0.419,0.698,0.466,P16621,64,P16621|A8DZ18|D5SHS4,Tyrosine-protein phosphatase Lar,FBgn0000464,Lar,1,1,0,0,0
2.2605,1.207,1.6295,1.592,0.813,1.092,0.559,0.6395,0.488,0.407,0.697,0.242,Q9VDB7,11,Q9VDB7,CG16791,FBgn0038881,CG16791,0,0,0,0,0
